t,pixel_acc,balanced_acc,fg_acc,bg_acc,hamming,mae
1,0.9997807443141937,0.9995847940444946,0.9993194043636322,0.9998501837253571,0.00021925568580627441,0.00021922831365372986
5,0.9997110068798065,0.9993355572223663,0.998831182718277,0.9998399317264557,0.00028899312019348145,0.0002889827737817541
10,0.9997608065605164,0.99954454600811,0.9992500245571136,0.9998390674591064,0.00023919343948364258,0.00023915816564112902
20,0.9993821680545807,0.9988656640052795,0.9981570541858673,0.9995742738246918,0.0006178319454193115,0.000617825222434476
30,0.9989536702632904,0.9978278577327728,0.9963099956512451,0.9993457198143005,0.0010463297367095947,0.0010463169310241938
40,0.998365730047226,0.9966771155595779,0.9944153726100922,0.9989388585090637,0.0016342699527740479,0.0016342473682016134
50,0.9973194301128387,0.9942774772644043,0.9900800287723541,0.9984749257564545,0.002680569887161255,0.002680564415641129
60,0.996791273355484,0.9932334870100021,0.9883666336536407,0.9981003403663635,0.003208726644515991,0.003208705340512097
75,0.9947285354137421,0.9892223924398422,0.9817010164260864,0.996743768453598,0.005271464586257935,0.005271444329991937
100,0.9912507832050323,0.9816775023937225,0.9685892164707184,0.9947657883167267,0.008749216794967651,0.008749202359467745
125,0.9862782657146454,0.9717344492673874,0.9518195688724518,0.991649329662323,0.013721734285354614,0.013721699360758066
150,0.9802096486091614,0.9596728980541229,0.9315072000026703,0.9878385961055756,0.019790351390838623,0.019790337421000004
200,0.9658701121807098,0.9227431118488312,0.8645487725734711,0.9809374511241913,0.03412988781929016,0.03412986174225807
250,0.9414062201976776,0.8676361292600632,0.7657274603843689,0.9695447981357574,0.05859377980232239,0.05859375
300,0.9043965041637421,0.7748363763093948,0.5962432622909546,0.9534294903278351,0.09560349583625793,0.09560347348451614
400,0.8709542155265808,0.7022467777132988,0.46873803436756134,0.9357555210590363,0.1290457844734192,0.1290457621216774
500,0.8766840398311615,0.7014944851398468,0.4648309051990509,0.9381580650806427,0.1233159601688385,0.12331592291593552
